timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699545702500,1354,HTTP Request,201,Created,Thread Group 1-2,text,true,,934,229,7,7,https://reqres.in/api/users,1340,0,1092
1699545703257,597,HTTP Request,201,Created,Thread Group 1-5,text,true,,752,229,7,7,https://reqres.in/api/users,583,0,333
1699545702499,1354,HTTP Request,201,Created,Thread Group 1-1,text,true,,748,229,7,7,https://reqres.in/api/users,1345,0,1080
1699545702992,862,HTTP Request,201,Created,Thread Group 1-4,text,true,,934,229,7,7,https://reqres.in/api/users,848,0,609
1699545702745,1109,HTTP Request,201,Created,Thread Group 1-3,text,true,,934,229,7,7,https://reqres.in/api/users,1095,0,835
1699545703637,340,HTTP Request,201,Created,Thread Group 1-6,text,true,,934,229,2,2,https://reqres.in/api/users,340,0,93
1699545703764,279,HTTP Request,201,Created,Thread Group 1-7,text,true,,746,229,2,2,https://reqres.in/api/users,279,0,51
1699545704011,243,HTTP Request,201,Created,Thread Group 1-8,text,true,,930,229,1,1,https://reqres.in/api/users,243,0,29
1699545704274,249,HTTP Request,201,Created,Thread Group 1-9,text,true,,930,229,2,2,https://reqres.in/api/users,249,0,36
1699545704517,267,HTTP Request,201,Created,Thread Group 1-10,text,true,,752,229,2,2,https://reqres.in/api/users,267,0,46
1699545704770,244,HTTP Request,201,Created,Thread Group 1-11,text,true,,930,229,1,1,https://reqres.in/api/users,244,0,32
1699545705018,251,HTTP Request,201,Created,Thread Group 1-12,text,true,,926,229,1,1,https://reqres.in/api/users,251,0,40
1699545705287,281,HTTP Request,201,Created,Thread Group 1-13,text,true,,742,229,2,2,https://reqres.in/api/users,281,0,57
1699545705514,278,HTTP Request,201,Created,Thread Group 1-14,text,true,,926,229,2,2,https://reqres.in/api/users,278,0,53
1699545705751,255,HTTP Request,201,Created,Thread Group 1-15,text,true,,926,229,2,2,https://reqres.in/api/users,255,0,38
1699545706002,264,HTTP Request,201,Created,Thread Group 1-16,text,true,,930,229,1,1,https://reqres.in/api/users,263,0,39
1699545706289,255,HTTP Request,201,Created,Thread Group 1-17,text,true,,930,229,2,2,https://reqres.in/api/users,255,0,48
1699545706500,234,HTTP Request,201,Created,Thread Group 1-18,text,true,,930,229,1,1,https://reqres.in/api/users,234,0,30
1699545706747,242,HTTP Request,201,Created,Thread Group 1-19,text,true,,929,229,1,1,https://reqres.in/api/users,242,0,37
1699545706998,240,HTTP Request,201,Created,Thread Group 1-20,text,true,,934,229,1,1,https://reqres.in/api/users,240,0,27
